,model,accuracy,f1_score,auroc,precision,sensitivity,specificity
0,tree,0.929411901063+-0.00502072736419,0.855137771242+-0.0103041685309,0.905865327809+-0.00795211768144,0.850393126793+-0.01330391297,0.951539641944+-0.00518626692496,0.850393126793+-0.01330391297
1,bayes,0.828165203518+-0.0173628069244,0.709157357184+-0.0270537021811,0.840297171741+-0.0199830897949,0.601616238099+-0.0273398952075,0.816753991844+-0.01593577861,0.601616238099+-0.0273398952075
2,GBDT,0.953119730907+-0.00581690373739,0.898662060362+-0.0130463410167,0.921003918703+-0.00952364381888,0.942609031453+-0.0101042847336,0.983298265017+-0.00291859787328,0.942609031453+-0.0101042847336
3,lr,0.939749471167+-0.0059932826518,0.870404094096+-0.0136269006831,0.904422802487+-0.0104969075023,0.90826741857+-0.014804111423,0.972946429806+-0.00476954038482,0.90826741857+-0.014804111423
4,svm,0.941889302531+-0.00870496468633,0.874805188253+-0.0199635423382,0.907083487053+-0.0149307897713,0.913438725818+-0.0145391628132,0.974594041612+-0.00418367562037,0.913438725818+-0.0145391628132
5,rf,0.941355497248+-0.00601966217954,0.871085877469+-0.0133056615906,0.899466452407+-0.0104668957363,0.932533201105+-0.0275917003528,0.980713347619+-0.00852479688306,0.932533201105+-0.0275917003528
6,knn,0.935114889213+-0.0056043647203,0.854564822576+-0.0143800738267,0.885085351456+-0.0115036236154,0.93393237962+-0.0115349032872,0.982122623903+-0.00343730436863,0.93393237962+-0.0115349032872
